,Unnamed: 0,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
0,0,4620 WIEUCA RD NE 66,12/30/22,"$335,000.00 ",335000,172.3251029,1944,1971,"4620 WIEUCA RD NE 66 Fulton County, GA","4620%20WIEUCA%20RD%20NE%2066%20Fulton%20County,%20GA","https://www.google.com/maps/search/4620%20WIEUCA%20RD%20NE%2066%20Fulton%20County,%20GA",33.8733767,-84.3791894
1,1,943 PEACHTREE ST NE # 1703,12/30/22,"$303,000.00 ",303000,435.3448276,696,2002,"943 PEACHTREE ST NE # 1703 Fulton County, GA","943%20PEACHTREE%20ST%20NE%20#%201703%20Fulton%20County,%20GA","https://www.google.com/maps/search/943%20PEACHTREE%20ST%20NE%20#%201703%20Fulton%20County,%20GA",33.7804915,-84.3835658
2,2,4682 TALL PINES DR NW,12/30/22,"$1,480,000.00 ",1480000,364.5320197,4060,1965,"4682 TALL PINES DR NW Fulton County, GA","4682%20TALL%20PINES%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/4682%20TALL%20PINES%20DR%20NW%20Fulton%20County,%20GA",33.8830686,-84.3917633
3,3,2081 DELLWOOD DR NW,12/30/22,"$810,000.00 ",810000,353.4031414,2292,1942,"2081 DELLWOOD DR NW Fulton County, GA","2081%20DELLWOOD%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2081%20DELLWOOD%20DR%20NW%20Fulton%20County,%20GA",33.8120742,-84.3971678
4,4,124 AMHERST PL NW,12/30/22,"$282,000.00 ",282000,204.0520984,1382,1968,"124 AMHERST PL NW Fulton County, GA","124%20AMHERST%20PL%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/124%20AMHERST%20PL%20NW%20Fulton%20County,%20GA",33.819172,-84.427646
5,5,3045 WINDCREST CT,12/30/22,"$375,000.00 ",375000,226.7230955,1654,2011,"3045 WINDCREST CT Fulton County, GA","3045%20WINDCREST%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/3045%20WINDCREST%20CT%20Fulton%20County,%20GA",33.9851201,-84.2720831
6,6,160 CHESTER AVE SE,12/30/22,"$630,000.00 ",630000,435.6846473,1446,1920,"160 CHESTER AVE SE Fulton County, GA","160%20CHESTER%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/160%20CHESTER%20AVE%20SE%20Fulton%20County,%20GA",33.7496494,-84.3589935
7,7,1419 FUNSTON ST SE,12/30/22,"$218,000.00 ",218000,193.2624113,1128,1950,"1419 FUNSTON ST SE Fulton County, GA","1419%20FUNSTON%20ST%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1419%20FUNSTON%20ST%20SE%20Fulton%20County,%20GA",33.7153974,-84.3655618
8,8,1985 WINDING CROSSING TRL,12/30/22,"$348,500.00 ",348500,128.3136966,2716,2004,"1985 WINDING CROSSING TRL Fulton County, GA","1985%20WINDING%20CROSSING%20TRL%20Fulton%20County,%20GA","https://www.google.com/maps/search/1985%20WINDING%20CROSSING%20TRL%20Fulton%20County,%20GA",33.5760929,-84.5887415
9,9,380 HERRON CV,12/30/22,"$520,000.00 ",520000,88.76749744,5858,2012,"380 HERRON CV Fulton County, GA","380%20HERRON%20CV%20Fulton%20County,%20GA","https://www.google.com/maps/search/380%20HERRON%20CV%20Fulton%20County,%20GA",33.6481241,-84.5560012
