,Unnamed: 0,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
2956,10838,757 BERRYDALE DR LOT 44,5/24/22,"$423,000.00 ",423000,455.8189655,928,2007,"757 BERRYDALE DR LOT 44 Fulton County, GA","757%20BERRYDALE%20DR%20LOT%2044%20Fulton%20County,%20GA","https://www.google.com/maps/search/757%20BERRYDALE%20DR%20LOT%2044%20Fulton%20County,%20GA",33.9309275,-84.3602711
2957,10839,709 EAST PACES FERRY RD,5/24/22,"$1,385,000.00 ",1385000,416.4161155,3326,1930,"709 EAST PACES FERRY RD Fulton County, GA","709%20EAST%20PACES%20FERRY%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/709%20EAST%20PACES%20FERRY%20RD%20Fulton%20County,%20GA",33.8417434,-84.3642065
2958,10840,617 BROADVIEW TER,5/24/22,"$715,000.00 ",715000,352.5641026,2028,2018,"617 BROADVIEW TER Fulton County, GA","617%20BROADVIEW%20TER%20Fulton%20County,%20GA","https://www.google.com/maps/search/617%20BROADVIEW%20TER%20Fulton%20County,%20GA",33.8215424,-84.3642759
2959,10841,5239 GLENRIDGE DR,5/24/22,"$400,000.00 ",400000,165.8374793,2412,1972,"5239 GLENRIDGE DR Fulton County, GA","5239%20GLENRIDGE%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/5239%20GLENRIDGE%20DR%20Fulton%20County,%20GA",33.9016777,-84.3771777
2960,10842,270 SEVENTEENTH ST NW UNIT 4303,5/24/22,"$846,465.00 ",846465,430.9903259,1964,2009,"270 SEVENTEENTH ST NW UNIT 4303 Fulton County, GA","270%20SEVENTEENTH%20ST%20NW%20UNIT%204303%20Fulton%20County,%20GA","https://www.google.com/maps/search/270%20SEVENTEENTH%20ST%20NW%20UNIT%204303%20Fulton%20County,%20GA",33.7908654,-84.3975929
2961,10843,270 SEVENTEENTH ST NW UNIT 1809,5/24/22,"$715,000.00 ",715000,397.0016657,1801,2015,"270 SEVENTEENTH ST NW UNIT 1809 Fulton County, GA","270%20SEVENTEENTH%20ST%20NW%20UNIT%201809%20Fulton%20County,%20GA","https://www.google.com/maps/search/270%20SEVENTEENTH%20ST%20NW%20UNIT%201809%20Fulton%20County,%20GA",33.7908666,-84.3975912
2962,10844,1805 MT PARAN RD NW,5/24/22,"$2,000,000.00 ",2000000,438.7889425,4558,2007,"1805 MT PARAN RD NW Fulton County, GA","1805%20MT%20PARAN%20RD%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1805%20MT%20PARAN%20RD%20NW%20Fulton%20County,%20GA",33.8680946,-84.4355869
2963,10845,2260 TWELVESTONES DR,5/24/22,"$600,000.00 ",600000,297.029703,2020,1984,"2260 TWELVESTONES DR Fulton County, GA","2260%20TWELVESTONES%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/2260%20TWELVESTONES%20DR%20Fulton%20County,%20GA",34.0004367,-84.2933581
2964,10846,688 WOODWARD AVE SE,5/24/22,"$790,000.00 ",790000,411.4583333,1920,1920,"688 WOODWARD AVE SE Fulton County, GA","688%20WOODWARD%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/688%20WOODWARD%20AVE%20SE%20Fulton%20County,%20GA",33.7456583,-84.3649047
2965,10847,5767 UNION POINTE DR,5/24/22,"$332,000.00 ",332000,115.038115,2886,2007,"5767 UNION POINTE DR Fulton County, GA","5767%20UNION%20POINTE%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/5767%20UNION%20POINTE%20DR%20Fulton%20County,%20GA",33.5910734,-84.569371
