,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
1873,2775 GRAND AVE SW,1/6/23,"$299,900.00 ",299900,249.2934331,1203,1950,"2775 GRAND AVE SW Fulton County, GA","2775%20GRAND%20AVE%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2775%20GRAND%20AVE%20SW%20Fulton%20County,%20GA",33.6791457,-84.4004198
1874,788 WEST MARIETTA ST NW UNIT 1514,1/6/23,"$776,242.00 ",776242,556.8450502,1394,2020,"788 WEST MARIETTA ST NW UNIT 1514 Fulton County, GA","788%20WEST%20MARIETTA%20ST%20NW%20UNIT%201514%20Fulton%20County,%20GA","https://www.google.com/maps/search/788%20WEST%20MARIETTA%20ST%20NW%20UNIT%201514%20Fulton%20County,%20GA",33.7797482,-84.413893
1877,487 WEST ONTARIO AVE SW,1/6/23,"$550,000.00 ",550000,210.7279693,2610,1930,"487 WEST ONTARIO AVE SW Fulton County, GA","487%20WEST%20ONTARIO%20AVE%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/487%20WEST%20ONTARIO%20AVE%20SW%20Fulton%20County,%20GA",33.74183,-84.4401518
1879,2897 GRANDVIEW AVE NE,1/6/23,"$625,000.00 ",625000,425.170068,1470,1934,"2897 GRANDVIEW AVE NE Fulton County, GA","2897%20GRANDVIEW%20AVE%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/2897%20GRANDVIEW%20AVE%20NE%20Fulton%20County,%20GA",33.8334997,-84.3761382
1394,475 MOUNT VERNON HWY # C120,1/23/23,"$115,000.00 ",115000,164.2857143,700,1983,"475 MOUNT VERNON HWY # C120 Fulton County, GA","475%20MOUNT%20VERNON%20HWY%20#%20C120%20Fulton%20County,%20GA","https://www.google.com/maps/search/475%20MOUNT%20VERNON%20HWY%20#%20C120%20Fulton%20County,%20GA",33.92370461,-84.36946536
1887,526 MORGAN ST NE,1/6/23,"$550,000.00 ",550000,416.6666667,1320,1920,"526 MORGAN ST NE Fulton County, GA","526%20MORGAN%20ST%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/526%20MORGAN%20ST%20NE%20Fulton%20County,%20GA",33.7691908,-84.3700781
1888,565 PEACHTREE ST NE # 1505,1/6/23,"$339,000.00 ",339000,356.8421053,950,2006,"565 PEACHTREE ST NE # 1505 Fulton County, GA","565%20PEACHTREE%20ST%20NE%20#%201505%20Fulton%20County,%20GA","https://www.google.com/maps/search/565%20PEACHTREE%20ST%20NE%20#%201505%20Fulton%20County,%20GA",33.7700406,-84.3848447
1889,171 AUBURN AVE NE # 210,1/6/23,"$221,000.00 ",221000,237.1244635,932,2007,"171 AUBURN AVE NE # 210 Fulton County, GA","171%20AUBURN%20AVE%20NE%20#%20210%20Fulton%20County,%20GA","https://www.google.com/maps/search/171%20AUBURN%20AVE%20NE%20#%20210%20Fulton%20County,%20GA",33.7553467,-84.3807011
1892,1090 TAYLOR KNOLL CLOSE,1/6/23,"$450,000.00 ",450000,200.1779359,2248,1989,"1090 TAYLOR KNOLL CLOSE Fulton County, GA","1090%20TAYLOR%20KNOLL%20CLOSE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1090%20TAYLOR%20KNOLL%20CLOSE%20Fulton%20County,%20GA",34.0667951,-84.3298203
1894,1125 CAMBRIDGE SQUARE A,1/5/23,"$760,000.00 ",760000,760,1000,1995,"1125 CAMBRIDGE SQUARE A Fulton County, GA","1125%20CAMBRIDGE%20SQUARE%20A%20Fulton%20County,%20GA","https://www.google.com/maps/search/1125%20CAMBRIDGE%20SQUARE%20A%20Fulton%20County,%20GA",34.0683571,-84.3141118
1895,1125 CAMBRIDGE SQUARE B,1/5/23,"$760,000.00 ",760000,380,2000,0,"1125 CAMBRIDGE SQUARE B Fulton County, GA","1125%20CAMBRIDGE%20SQUARE%20B%20Fulton%20County,%20GA","https://www.google.com/maps/search/1125%20CAMBRIDGE%20SQUARE%20B%20Fulton%20County,%20GA",34.0683571,-84.3141118
1896,1125 CAMBRIDGE SQUARE C,1/5/23,"$760,000.00 ",760000,760,1000,0,"1125 CAMBRIDGE SQUARE C Fulton County, GA","1125%20CAMBRIDGE%20SQUARE%20C%20Fulton%20County,%20GA","https://www.google.com/maps/search/1125%20CAMBRIDGE%20SQUARE%20C%20Fulton%20County,%20GA",34.0683496,-84.3140623
1897,1125 CAMBRIDGE SQUARE D,1/5/23,"$760,000.00 ",760000,760,1000,0,"1125 CAMBRIDGE SQUARE D Fulton County, GA","1125%20CAMBRIDGE%20SQUARE%20D%20Fulton%20County,%20GA","https://www.google.com/maps/search/1125%20CAMBRIDGE%20SQUARE%20D%20Fulton%20County,%20GA",34.0683571,-84.3141118
1898,640 MARIETTA ST NW,1/5/23,"$680,000.00 ",680000,341.8803419,1989,2007,"640 MARIETTA ST NW Fulton County, GA","640%20MARIETTA%20ST%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/640%20MARIETTA%20ST%20NW%20Fulton%20County,%20GA",33.7702513,-84.3994704
1899,1350 WESTMONT RD SW,1/5/23,"$63,520.00 ",63520,47.05185185,1350,1960,"1350 WESTMONT RD SW Fulton County, GA","1350%20WESTMONT%20RD%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1350%20WESTMONT%20RD%20SW%20Fulton%20County,%20GA",33.7184325,-84.4374312
1901,40 W 12TH ST UNIT 803,1/5/23,"$675,000.00 ",675000,724.248927,932,2021,"40 W 12TH ST UNIT 803 Fulton County, GA","40%20W%2012TH%20ST%20UNIT%20803%20Fulton%20County,%20GA","https://www.google.com/maps/search/40%20W%2012TH%20ST%20UNIT%20803%20Fulton%20County,%20GA",33.7849249,-84.3864041
1477,520 PARK AVE SE # 9,1/19/23,"$225,000.00 ",225000,257.1428571,875,1960,"520 PARK AVE SE # 9 Fulton County, GA","520%20PARK%20AVE%20SE%20#%209%20Fulton%20County,%20GA","https://www.google.com/maps/search/520%20PARK%20AVE%20SE%20#%209%20Fulton%20County,%20GA",33.74044285,-84.36922736
1903,4701 JETT RD NW,1/5/23,"$4,100,000.00 ",4100000,936.5006852,4378,2018,"4701 JETT RD NW Fulton County, GA","4701%20JETT%20RD%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/4701%20JETT%20RD%20NW%20Fulton%20County,%20GA",33.8838971,-84.4104956
1905,26 HIGHLAND DR NE,1/5/23,"$550,000.00 ",550000,316.8202765,1736,1929,"26 HIGHLAND DR NE Fulton County, GA","26%20HIGHLAND%20DR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/26%20HIGHLAND%20DR%20NE%20Fulton%20County,%20GA",33.844766,-84.3675742
1906,4325 PARKSIDE PL,1/5/23,"$690,000.00 ",690000,328.5714286,2100,2019,"4325 PARKSIDE PL Fulton County, GA","4325%20PARKSIDE%20PL%20Fulton%20County,%20GA","https://www.google.com/maps/search/4325%20PARKSIDE%20PL%20Fulton%20County,%20GA",33.8849207,-84.3779697
1907,3107 PEACHTREE RD UNIT 804,1/5/23,"$3,750,000.00 ",3750000,608.1738566,6166,2019,"3107 PEACHTREE RD UNIT 804 Fulton County, GA","3107%20PEACHTREE%20RD%20UNIT%20804%20Fulton%20County,%20GA","https://www.google.com/maps/search/3107%20PEACHTREE%20RD%20UNIT%20804%20Fulton%20County,%20GA",33.8399079,-84.3787588
1908,2094 FAIRHAVEN CIR NE,1/5/23,"$630,000.00 ",630000,615.234375,1024,1925,"2094 FAIRHAVEN CIR NE Fulton County, GA","2094%20FAIRHAVEN%20CIR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/2094%20FAIRHAVEN%20CIR%20NE%20Fulton%20County,%20GA",33.814459,-84.3875301
1911,875 OLD ROSWELL RD C200,1/3/23,"$150,000.00 ",150000,176.056338,852,0,"875 OLD ROSWELL RD C200 Fulton County, GA","875%20OLD%20ROSWELL%20RD%20C200%20Fulton%20County,%20GA","https://www.google.com/maps/search/875%20OLD%20ROSWELL%20RD%20C200%20Fulton%20County,%20GA",34.0365035,-84.3348066
1912,1385 OLD RIVERSIDE RD,1/5/23,"$646,300.00 ",646300,268.843594,2404,2012,"1385 OLD RIVERSIDE RD Fulton County, GA","1385%20OLD%20RIVERSIDE%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/1385%20OLD%20RIVERSIDE%20RD%20Fulton%20County,%20GA",33.9869063,-84.3217241
1914,740 RALPH MCGILL BLVD,1/5/23,"$11,800,000.00 ",11800000,665.1634724,17740,2015,"740 RALPH MCGILL BLVD Fulton County, GA","740%20RALPH%20MCGILL%20BLVD%20Fulton%20County,%20GA","https://www.google.com/maps/search/740%20RALPH%20MCGILL%20BLVD%20Fulton%20County,%20GA",33.7668076,-84.3632797
1915,375 HIGHLAND AVE # 605,1/5/23,"$345,000.00 ",345000,233.4235453,1478,2000,"375 HIGHLAND AVE # 605 Fulton County, GA","375%20HIGHLAND%20AVE%20#%20605%20Fulton%20County,%20GA","https://www.google.com/maps/search/375%20HIGHLAND%20AVE%20#%20605%20Fulton%20County,%20GA",33.76125092,-84.37622228
1917,800 PEACHTREE ST # 1224,1/5/23,"$254,000.00 ",254000,327.7419355,775,2001,"800 PEACHTREE ST # 1224 Fulton County, GA","800%20PEACHTREE%20ST%20#%201224%20Fulton%20County,%20GA","https://www.google.com/maps/search/800%20PEACHTREE%20ST%20#%201224%20Fulton%20County,%20GA",33.7762272,-84.3844471
1918,338 MOUNT ZION RD,1/5/23,"$257,000.00 ",257000,216.1480235,1189,1955,"338 MOUNT ZION RD Fulton County, GA","338%20MOUNT%20ZION%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/338%20MOUNT%20ZION%20RD%20Fulton%20County,%20GA",33.6727939,-84.4055734
1922,22 HIGHLAND DR NE,1/5/23,"$650,000.00 ",650000,322.2607833,2017,1935,"22 HIGHLAND DR NE Fulton County, GA","22%20HIGHLAND%20DR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/22%20HIGHLAND%20DR%20NE%20Fulton%20County,%20GA",33.844817,-84.3677385
1923,380 CASTLERIDGE DR,1/5/23,"$535,000.00 ",535000,242.7404719,2204,1966,"380 CASTLERIDGE DR Fulton County, GA","380%20CASTLERIDGE%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/380%20CASTLERIDGE%20DR%20Fulton%20County,%20GA",33.9063258,-84.3748839
1926,796 PIEDMONT AVE # B,1/5/23,"$612,000.00 ",612000,520.4081633,1176,1988,"796 PIEDMONT AVE # B Fulton County, GA","796%20PIEDMONT%20AVE%20#%20B%20Fulton%20County,%20GA","https://www.google.com/maps/search/796%20PIEDMONT%20AVE%20#%20B%20Fulton%20County,%20GA",33.7764062,-84.38180697
1929,1643 WILDWOOD RD NE,1/5/23,"$3,718,000.00 ",3718000,711.8514264,5223,2022,"1643 WILDWOOD RD NE Fulton County, GA","1643%20WILDWOOD%20RD%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1643%20WILDWOOD%20RD%20NE%20Fulton%20County,%20GA",33.7995662,-84.3492906
1930,5555 PEACHTREE DUNWOODY RD 293,1/5/23,"$1,250,000.00 ",1250000,405.8441558,3080,0,"5555 PEACHTREE DUNWOODY RD 293 Fulton County, GA","5555%20PEACHTREE%20DUNWOODY%20RD%20293%20Fulton%20County,%20GA","https://www.google.com/maps/search/5555%20PEACHTREE%20DUNWOODY%20RD%20293%20Fulton%20County,%20GA",33.9056794,-84.3520726
1931,7150 HUNTERS BRANCH DR,1/5/23,"$705,000.00 ",705000,252.9601722,2787,1969,"7150 HUNTERS BRANCH DR Fulton County, GA","7150%20HUNTERS%20BRANCH%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/7150%20HUNTERS%20BRANCH%20DR%20Fulton%20County,%20GA",33.9503687,-84.350323
1932,1125 CAMBRIDGE SQUARE E,1/5/23,"$760,000.00 ",760000,380,2000,0,"1125 CAMBRIDGE SQUARE E Fulton County, GA","1125%20CAMBRIDGE%20SQUARE%20E%20Fulton%20County,%20GA","https://www.google.com/maps/search/1125%20CAMBRIDGE%20SQUARE%20E%20Fulton%20County,%20GA",34.0683736,-84.3141216
1933,1389 OLD RIVERSIDE RD,1/5/23,"$459,700.00 ",459700,146.2150127,3144,1970,"1389 OLD RIVERSIDE RD Fulton County, GA","1389%20OLD%20RIVERSIDE%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/1389%20OLD%20RIVERSIDE%20RD%20Fulton%20County,%20GA",33.9867686,-84.3215597
1934,1145 KIRKWOOD AVE SE UNIT 16,1/4/23,"$625,000.00 ",625000,280.0179211,2232,2019,"1145 KIRKWOOD AVE SE UNIT 16 Fulton County, GA","1145%20KIRKWOOD%20AVE%20SE%20UNIT%2016%20Fulton%20County,%20GA","https://www.google.com/maps/search/1145%20KIRKWOOD%20AVE%20SE%20UNIT%2016%20Fulton%20County,%20GA",33.7500187,-84.349786
1937,401 SIXTEENTH ST NW # 1377,1/4/23,"$270,000.00 ",270000,188.4159107,1433,2004,"401 SIXTEENTH ST NW # 1377 Fulton County, GA","401%20SIXTEENTH%20ST%20NW%20#%201377%20Fulton%20County,%20GA","https://www.google.com/maps/search/401%20SIXTEENTH%20ST%20NW%20#%201377%20Fulton%20County,%20GA",33.7889745,-84.4007174
1938,2836 MANGO CIR NW,1/4/23,"$248,500.00 ",248500,225.0905797,1104,1955,"2836 MANGO CIR NW Fulton County, GA","2836%20MANGO%20CIR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2836%20MANGO%20CIR%20NW%20Fulton%20County,%20GA",33.7945789,-84.4810599
1940,220 FALL CREEK TRC,1/4/23,"$560,000.00 ",560000,284.5528455,1968,1979,"220 FALL CREEK TRC Fulton County, GA","220%20FALL%20CREEK%20TRC%20Fulton%20County,%20GA","https://www.google.com/maps/search/220%20FALL%20CREEK%20TRC%20Fulton%20County,%20GA",34.0045634,-84.3000191
1941,1945 MORELAND AVE SE,1/4/23,"$850,000.00 ",850000,85.48727748,9943,0,"1945 MORELAND AVE SE Fulton County, GA","1945%20MORELAND%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1945%20MORELAND%20AVE%20SE%20Fulton%20County,%20GA",33.7015049,-84.3501586
1942,80 KENYON ST SE,1/4/23,"$775,000.00 ",775000,263.2472826,2944,2022,"80 KENYON ST SE Fulton County, GA","80%20KENYON%20ST%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/80%20KENYON%20ST%20SE%20Fulton%20County,%20GA",33.7515892,-84.357349
1943,3701 JONESBORO RD SE,1/4/23,"$2,400,000.00 ",2400000,97.10309112,24716,0,"3701 JONESBORO RD SE Fulton County, GA","3701%20JONESBORO%20RD%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/3701%20JONESBORO%20RD%20SE%20Fulton%20County,%20GA",33.6528056,-84.3684572
1945,3203 LENOX RD # #20,1/4/23,"$330,000.00 ",330000,219.4148936,1504,1985,"3203 LENOX RD # #20 Fulton County, GA","3203%20LENOX%20RD%20#%20#20%20Fulton%20County,%20GA","https://www.google.com/maps/search/3203%20LENOX%20RD%20#%20#20%20Fulton%20County,%20GA",33.84263057,-84.35746185
1947,587 VIRGINIA AVE # 802,1/4/23,"$300,000.00 ",300000,375,800,1990,"587 VIRGINIA AVE # 802 Fulton County, GA","587%20VIRGINIA%20AVE%20#%20802%20Fulton%20County,%20GA","https://www.google.com/maps/search/587%20VIRGINIA%20AVE%20#%20802%20Fulton%20County,%20GA",33.7807105,-84.36812919
1948,5750 KAYRON DR,1/4/23,"$575,000.00 ",575000,228.355838,2518,1962,"5750 KAYRON DR Fulton County, GA","5750%20KAYRON%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/5750%20KAYRON%20DR%20Fulton%20County,%20GA",33.9123987,-84.3723174
1950,3060 PHARR COURT NORTH NW 807,1/4/23,"$198,000.00 ",198000,235.7142857,840,1970,"3060 PHARR COURT NORTH NW 807 Fulton County, GA","3060%20PHARR%20COURT%20NORTH%20NW%20807%20Fulton%20County,%20GA","https://www.google.com/maps/search/3060%20PHARR%20COURT%20NORTH%20NW%20807%20Fulton%20County,%20GA",33.8388961,-84.3846922
1951,987 SIMS AVE NW,1/4/23,"$437,000.00 ",437000,152.5837989,2864,2005,"987 SIMS AVE NW Fulton County, GA","987%20SIMS%20AVE%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/987%20SIMS%20AVE%20NW%20Fulton%20County,%20GA",33.7814989,-84.4531806
1952,238 WALKER ST SW UNIT 2,1/4/23,"$260,000.00 ",260000,208,1250,2006,"238 WALKER ST SW UNIT 2 Fulton County, GA","238%20WALKER%20ST%20SW%20UNIT%202%20Fulton%20County,%20GA","https://www.google.com/maps/search/238%20WALKER%20ST%20SW%20UNIT%202%20Fulton%20County,%20GA",33.7483229,-84.4021798
1953,1365 AVON AVE SW,1/4/23,"$277,000.00 ",277000,220.190779,1258,1948,"1365 AVON AVE SW Fulton County, GA","1365%20AVON%20AVE%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1365%20AVON%20AVE%20SW%20Fulton%20County,%20GA",33.7226112,-84.4325907
1954,1976 LYLE AVE,1/4/23,"$270,000.00 ",270000,169.9181875,1589,1950,"1976 LYLE AVE Fulton County, GA","1976%20LYLE%20AVE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1976%20LYLE%20AVE%20Fulton%20County,%20GA",33.6659764,-84.4537342
1955,1102 SANTA FE PKY,1/4/23,"$150,000.00 ",150000,194.3005181,772,1991,"1102 SANTA FE PKY Fulton County, GA","1102%20SANTA%20FE%20PKY%20Fulton%20County,%20GA","https://www.google.com/maps/search/1102%20SANTA%20FE%20PKY%20Fulton%20County,%20GA",33.9641924,-84.3718146
