,Address,sale_date,sale_price,salePrice_numeric,price_SF,sq_ft,yr_built,unique_ID,full_address,Address_URL,url,lat,long
859,118 GREENWOOD TRC,5/5/23,"$269,000.00 ",269000,163.7248935,1643,2004,118GREENWOODTRC-2023-05-05-269000,"118 GREENWOOD TRC Fulton County, GA","118%20GREENWOOD%20TRC%20Fulton%20County,%20GA","https://www.google.com/maps/search/118%20GREENWOOD%20TRC%20Fulton%20County,%20GA",33.7243398,-84.4550692
860,2122 BELVEDERE DR NW,5/5/23,"$760,000.00 ",760000,503.6447979,1509,1940,2122BELVEDEREDRNW-2023-05-05-760000,"2122 BELVEDERE DR NW Fulton County, GA","2122%20BELVEDERE%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2122%20BELVEDERE%20DR%20NW%20Fulton%20County,%20GA",33.8133273,-84.413083
861,1922 NORTHSIDE DR NW,5/5/23,"$640,000.00 ",640000,351.6483516,1820,1960,1922NORTHSIDEDRNW-2023-05-05-640000,"1922 NORTHSIDE DR NW Fulton County, GA","1922%20NORTHSIDE%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1922%20NORTHSIDE%20DR%20NW%20Fulton%20County,%20GA",33.8078986,-84.4082144
862,1040 REED FARM LN,5/5/23,"$1,400,000.00 ",1400000,301.1400301,4649,2022,1040REEDFARMLN-2023-05-05-1400000,"1040 REED FARM LN Fulton County, GA","1040%20REED%20FARM%20LN%20Fulton%20County,%20GA","https://www.google.com/maps/search/1040%20REED%20FARM%20LN%20Fulton%20County,%20GA",34.057663,-84.347875
863,385 FERRY LANDING NW,5/5/23,"$900,000.00 ",900000,260.4166667,3456,1980,385FERRYLANDINGNW-2023-05-05-900000,"385 FERRY LANDING NW Fulton County, GA","385%20FERRY%20LANDING%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/385%20FERRY%20LANDING%20NW%20Fulton%20County,%20GA",33.9257061,-84.4267241
864,6230 MOUNTAIN BROOK WAY,5/5/23,"$1,460,000.00 ",1460000,364.9087728,4001,1967,6230MOUNTAINBROOKWAY-2023-05-05-1460000,"6230 MOUNTAIN BROOK WAY Fulton County, GA","6230%20MOUNTAIN%20BROOK%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/6230%20MOUNTAIN%20BROOK%20WAY%20Fulton%20County,%20GA",33.9256411,-84.4132862
865,5573 KINGSPORT DR # 19,5/5/23,"$167,000.00 ",167000,141.7657046,1178,1980,5573KINGSPORTDR#19-2023-05-05-167000,"5573 KINGSPORT DR # 19 Fulton County, GA","5573%20KINGSPORT%20DR%20#%2019%20Fulton%20County,%20GA","https://www.google.com/maps/search/5573%20KINGSPORT%20DR%20#%2019%20Fulton%20County,%20GA",33.9096142,-84.3841939
866,7405 GLISTEN AVE,5/5/23,"$536,000.00 ",536000,354.4973545,1512,2014,7405GLISTENAVE-2023-05-05-536000,"7405 GLISTEN AVE Fulton County, GA","7405%20GLISTEN%20AVE%20Fulton%20County,%20GA","https://www.google.com/maps/search/7405%20GLISTEN%20AVE%20Fulton%20County,%20GA",33.9526766,-84.3646994
867,100 ARBOR FOREST CT,5/5/23,"$663,000.00 ",663000,224.2137301,2957,1985,100ARBORFORESTCT-2023-05-05-663000,"100 ARBOR FOREST CT Fulton County, GA","100%20ARBOR%20FOREST%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20ARBOR%20FOREST%20CT%20Fulton%20County,%20GA",34.035219,-84.2122965
735,229 DENNIS DR # 75,5/19/23,"$390,000.00 ",390000,331.6326531,1176,1990,229DENNISDR#75-2023-05-19-390000,"229 DENNIS DR # 75 Fulton County, GA","229%20DENNIS%20DR%20#%2075%20Fulton%20County,%20GA","https://www.google.com/maps/search/229%20DENNIS%20DR%20#%2075%20Fulton%20County,%20GA",34.071759,-84.32392575
869,2931 WEST ROXBORO RD NE,5/5/23,"$2,265,681.00 ",2265681,447.9400949,5058,2022,2931WESTROXBORORDNE-2023-05-05-2265681,"2931 WEST ROXBORO RD NE Fulton County, GA","2931%20WEST%20ROXBORO%20RD%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/2931%20WEST%20ROXBORO%20RD%20NE%20Fulton%20County,%20GA",33.8346114,-84.3489262
870,4536 MEADOW VALLEY DR,5/5/23,"$995,000.00 ",995000,471.7875771,2109,1956,4536MEADOWVALLEYDR-2023-05-05-995000,"4536 MEADOW VALLEY DR Fulton County, GA","4536%20MEADOW%20VALLEY%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/4536%20MEADOW%20VALLEY%20DR%20Fulton%20County,%20GA",33.8786781,-84.3850257
1652,249 MILTON AVE,3/1/23,"$535,000.00 ",535000,627.9342723,852,1945,249MILTONAVE-2023-03-01-535000,"249 MILTON AVE Fulton County, GA","249%20MILTON%20AVE%20Fulton%20County,%20GA","https://www.google.com/maps/search/249%20MILTON%20AVE%20Fulton%20County,%20GA",34.07648983,-84.30203725
872,943 PEACHTREE ST NE # 709,5/5/23,"$274,900.00 ",274900,411.5269461,668,2002,943PEACHTREESTNE#709-2023-05-05-274900,"943 PEACHTREE ST NE # 709 Fulton County, GA","943%20PEACHTREE%20ST%20NE%20#%20709%20Fulton%20County,%20GA","https://www.google.com/maps/search/943%20PEACHTREE%20ST%20NE%20#%20709%20Fulton%20County,%20GA",33.7804915,-84.3835658
873,5559 GLENRIDGE DR 1304,5/5/23,"$235,000.00 ",235000,284.8484848,825,2000,5559GLENRIDGEDR1304-2023-05-05-235000,"5559 GLENRIDGE DR 1304 Fulton County, GA","5559%20GLENRIDGE%20DR%201304%20Fulton%20County,%20GA","https://www.google.com/maps/search/5559%20GLENRIDGE%20DR%201304%20Fulton%20County,%20GA",33.9060595,-84.3672108
874,6940 ROSWELL RD # A 24,5/5/23,"$275,000.00 ",275000,152.7777778,1800,1965,6940ROSWELLRD#A24-2023-05-05-275000,"6940 ROSWELL RD # A 24 Fulton County, GA","6940%20ROSWELL%20RD%20#%20A%2024%20Fulton%20County,%20GA","https://www.google.com/maps/search/6940%20ROSWELL%20RD%20#%20A%2024%20Fulton%20County,%20GA",33.9439426,-84.3745349
875,465 FAIRFORD LN,5/5/23,"$655,000.00 ",655000,259.9206349,2520,1994,465FAIRFORDLN-2023-05-05-655000,"465 FAIRFORD LN Fulton County, GA","465%20FAIRFORD%20LN%20Fulton%20County,%20GA","https://www.google.com/maps/search/465%20FAIRFORD%20LN%20Fulton%20County,%20GA",34.0457221,-84.1739012
876,136 PEACHTREE MEMORIAL DR,5/5/23,"$330,000.00 ",330000,297.833935,1108,1975,136PEACHTREEMEMORIALDR-2023-05-05-330000,"136 PEACHTREE MEMORIAL DR Fulton County, GA","136%20PEACHTREE%20MEMORIAL%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/136%20PEACHTREE%20MEMORIAL%20DR%20Fulton%20County,%20GA",33.8175226,-84.3947438
877,100 BISCAYNE DR C 3,5/5/23,"$267,000.00 ",267000,257.7220077,1036,1964,100BISCAYNEDRC3-2023-05-05-267000,"100 BISCAYNE DR C 3 Fulton County, GA","100%20BISCAYNE%20DR%20C%203%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20BISCAYNE%20DR%20C%203%20Fulton%20County,%20GA",33.8154023,-84.3946061
878,412 MILL POND RD,5/4/23,"$300,000.00 ",300000,207.7562327,1444,1985,412MILLPONDRD-2023-05-04-300000,"412 MILL POND RD Fulton County, GA","412%20MILL%20POND%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/412%20MILL%20POND%20RD%20Fulton%20County,%20GA",34.042421,-84.348549
